train_error,test_error,train_accuracy,test_accuracy
0.7399208668468596,0.7151249063778997,0.7550166666666667,0.7675
0.13091505710946405,0.12159362125076978,0.9623333333333334,0.9636
0.08543211707022709,0.08048321825523162,0.9748333333333333,0.9748
0.06554423194407401,0.0609728026476118,0.9806833333333334,0.9822
0.05690349068530533,0.056546798855758106,0.9828833333333333,0.9823
0.051576741322693444,0.0516176290520085,0.98405,0.9853
0.04920796506704963,0.04999358291624394,0.98505,0.9843
